sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
Male,Greater than 45,Other,0,0,0,0,1.0,F,Aggravated Assault w/Firearm,0
Male,25 - 45,African-American,0,0,0,0,1.0,F,Felony Battery w/Prior Convict,0
Male,Less than 25,African-American,0,0,1,4,1.0,F,Possession of Cocaine,0
Male,Less than 25,African-American,0,1,0,1,1.0,F,Possession of Cannabis,2
Male,25 - 45,Other,0,0,0,2,76.0,F,arrest case no charge,0
Male,25 - 45,Other,0,0,0,0,0.0,M,Battery,0
Male,25 - 45,Caucasian,0,0,0,14,1.0,F,Possession Burglary Tools,1
Male,25 - 45,Other,0,0,0,3,1.0,F,arrest case no charge,0
Female,25 - 45,Caucasian,0,0,0,0,1.0,M,Battery,0
Male,Less than 25,Caucasian,0,0,0,1,308.0,F,Insurance Fraud,0
Male,25 - 45,Caucasian,0,0,0,0,1.0,F,"Poss 3,4 MDMA (Ecstasy)",0
Male,Less than 25,African-American,0,0,0,3,0.0,M,Battery,1
Female,25 - 45,Caucasian,0,0,0,0,0.0,M,Battery,0
Male,25 - 45,African-American,0,0,0,0,1.0,F,"Poss3,4 Methylenedioxymethcath",0
Female,Greater than 45,Caucasian,0,0,0,1,490.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,7,71.0,F,Felony Driving While Lic Suspd,0
Male,25 - 45,Hispanic,0,0,0,0,0.0,M,Battery,0
Male,25 - 45,African-American,0,0,0,3,1.0,F,Grand Theft in the 3rd Degree,2
Male,25 - 45,Caucasian,0,0,0,6,1.0,F,Driving While License Revoked,1
Male,25 - 45,Caucasian,0,0,0,5,1.0,F,Possession Of Heroin,0
Male,Greater than 45,African-American,0,0,0,13,1.0,F,arrest case no charge,1
Male,Less than 25,African-American,0,0,0,1,1.0,F,Battery on Law Enforc Officer,2
Male,25 - 45,Caucasian,0,0,0,0,0.0,M,Possession Of Methamphetamine,0
Female,Less than 25,Caucasian,0,0,0,0,2.0,F,Introduce Contraband Into Jail,0
Male,Less than 25,Hispanic,0,0,0,1,1.0,F,Lewd/Lasc Battery Pers 12+/<16,0
Male,25 - 45,Caucasian,0,0,0,1,1.0,M,Susp Drivers Lic 1st Offense,0
Male,25 - 45,Other,0,0,0,0,1.0,M,Battery,0
Male,25 - 45,African-American,0,0,0,8,1.0,F,Carrying Concealed Firearm,0
Female,25 - 45,Caucasian,0,0,0,3,95.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,1,5,1.0,F,Pos Cannabis W/Intent Sel/Del,1
Male,25 - 45,African-American,0,0,0,0,1.0,F,Tampering With Physical Evidence,2
Male,25 - 45,Caucasian,0,0,0,9,0.0,F,Felony Battery w/Prior Convict,2
Male,25 - 45,African-American,0,0,0,4,1.0,F,Att Tamper w/Physical Evidence,2
Male,Greater than 45,Caucasian,0,0,0,0,1.0,F,arrest case no charge,0
Male,Greater than 45,Other,0,0,0,7,0.0,F,Agg Fleeing and Eluding,0
Male,25 - 45,Caucasian,0,0,2,6,382.0,M,Operating W/O Valid License,2
Female,25 - 45,Caucasian,0,0,0,4,1.0,M,Battery,1
Male,Less than 25,Caucasian,0,0,0,1,0.0,M,Battery,0
Male,25 - 45,African-American,2,1,3,21,0.0,F,Poss Wep Conv Felon,2
Male,25 - 45,Caucasian,0,0,0,0,1.0,M,Possess Cannabis/20 Grams Or Less,0
Female,Less than 25,African-American,0,0,0,2,1.0,F,arrest case no charge,2
Male,Greater than 45,African-American,0,0,0,2,1.0,M,Unlaw Use False Name/Identity,0
Male,25 - 45,Caucasian,0,0,0,2,1.0,M,Viol Injunct Domestic Violence,0
Female,Greater than 45,African-American,0,0,0,7,1.0,F,Possession of Cocaine,0
Male,25 - 45,African-American,0,0,0,0,0.0,F,Defrauding Innkeeper $300/More,1
Male,25 - 45,Caucasian,0,0,0,9,1.0,M,Battery,2
Male,25 - 45,African-American,1,0,4,13,1.0,F,Uttering a Forged Instrument,2
Male,Greater than 45,Caucasian,0,0,0,0,0.0,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,0,0,0,4,59.0,M,Driving License Suspended,0
Male,25 - 45,African-American,0,0,0,0,1.0,F,Tampering With Physical Evidence,0
Male,25 - 45,Caucasian,0,0,0,1,24.0,F,Possession of Oxycodone,0
Female,25 - 45,Other,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,Caucasian,0,0,0,20,562.0,F,arrest case no charge,1
Female,Greater than 45,Hispanic,0,0,0,1,219.0,F,arrest case no charge,0
Male,25 - 45,African-American,0,0,1,15,1.0,F,Attempt Armed Burglary Dwell,1
Male,Less than 25,African-American,0,0,0,2,1.0,F,Poss Tetrahydrocannabinols,0
Male,25 - 45,Hispanic,0,0,0,0,0.0,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,African-American,0,0,0,4,1.0,M,Battery,0
Male,Greater than 45,Caucasian,0,0,0,8,13.0,F,arrest case no charge,1
Male,25 - 45,African-American,0,0,0,5,1.0,F,Driving While License Revoked,0
Male,Greater than 45,African-American,0,0,0,10,906.0,M,Possess Drug Paraphernalia,1
Male,25 - 45,African-American,1,1,2,15,1.0,F,Driving While License Revoked,2
Male,25 - 45,Caucasian,0,0,0,4,1.0,M,Battery,0
Male,Less than 25,African-American,0,0,1,1,1.0,F,Poss Firearm W/Altered ID#,0
Male,Less than 25,African-American,0,1,2,2,114.0,F,Sell Conterfeit Cont Substance,2
Male,25 - 45,African-American,0,0,0,4,1.0,F,arrest case no charge,2
Male,Greater than 45,Hispanic,0,0,0,0,1.0,M,Unlaw LicTag/Sticker Attach,0
Male,25 - 45,African-American,0,1,0,6,0.0,F,Aggravated Battery / Pregnant,1
Male,25 - 45,Other,0,0,0,0,1.0,M,Battery,0
Female,Greater than 45,African-American,0,0,0,0,1.0,M,Battery,0
Male,Greater than 45,Hispanic,0,0,0,6,1.0,F,Possession of Cocaine,0
Male,Less than 25,Hispanic,0,0,0,1,1.0,F,Burglary Structure Unoccup,0
Male,25 - 45,African-American,0,0,0,1,1.0,M,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,5,0.0,F,False Name By Person Arrest,1
Male,25 - 45,Caucasian,0,0,1,1,1.0,F,arrest case no charge,1
Male,25 - 45,African-American,0,0,0,2,15.0,F,arrest case no charge,0
Male,Less than 25,African-American,0,0,0,1,1.0,M,Battery,0
Male,Less than 25,Caucasian,0,0,0,0,1.0,F,Grand Theft in the 3rd Degree,2
Female,25 - 45,African-American,0,0,0,1,1.0,F,Poss Cocaine/Intent To Del/Sel,0
Male,25 - 45,Caucasian,0,0,0,1,44.0,F,Burglary Dwelling Assault/Batt,1
Male,25 - 45,African-American,0,0,0,0,1.0,F,Felony Battery (Dom Strang),0
Male,25 - 45,African-American,0,0,0,1,5185.0,M,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,8,1.0,M,Possess Cannabis/20 Grams Or Less,2
Male,Greater than 45,Other,0,0,0,0,1.0,F,arrest case no charge,0
Male,25 - 45,African-American,1,6,1,14,1.0,F,arrest case no charge,2
Male,Less than 25,Other,0,0,0,0,1.0,F,Tampering With Physical Evidence,1
Male,Less than 25,African-American,1,0,0,2,0.0,F,Attempted Burg/struct/unocc,2
Male,Less than 25,African-American,0,0,1,2,192.0,M,arrest case no charge,1
Female,25 - 45,African-American,0,0,0,1,1.0,M,arrest case no charge,0
Male,25 - 45,African-American,0,0,0,9,1.0,F,Deliver Cocaine,1
Male,25 - 45,Caucasian,0,0,0,7,1.0,F,Possession Burglary Tools,2
Male,Less than 25,Other,0,0,0,1,1.0,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Caucasian,0,0,0,9,1.0,F,Pos Cannabis W/Intent Sel/Del,2
