sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
1.0,69,1.0,5.0,0,0,0,0,1.0,0.0,17.0,0
1.0,34,0.0,0.0,0,0,0,0,1.0,0.0,172.0,0
1.0,24,2.0,0.0,0,0,1,4,1.0,0.0,318.0,0
1.0,23,2.0,0.0,0,1,0,1,1.0,0.0,317.0,1
1.0,43,0.0,5.0,0,0,0,2,76.0,0.0,436.0,0
1.0,44,0.0,5.0,0,0,0,0,0.0,1.0,44.0,0
1.0,41,0.0,2.0,0,0,0,14,1.0,0.0,296.0,1
1.0,43,0.0,5.0,0,0,0,3,1.0,0.0,436.0,0
0.0,39,0.0,2.0,0,0,0,0,1.0,1.0,44.0,0
1.0,21,2.0,2.0,0,0,0,1,245.0,0.0,202.0,0
1.0,27,0.0,2.0,0,0,0,0,1.0,0.0,252.0,0
1.0,23,2.0,0.0,0,0,0,3,0.0,1.0,44.0,1
0.0,37,0.0,2.0,0,0,0,0,0.0,1.0,44.0,0
1.0,41,0.0,0.0,0,0,0,0,1.0,0.0,284.0,0
0.0,47,1.0,2.0,0,0,0,1,305.0,0.0,436.0,0
1.0,31,0.0,0.0,0,0,0,7,71.0,0.0,176.0,0
1.0,37,0.0,3.0,0,0,0,0,0.0,1.0,44.0,0
1.0,25,0.0,0.0,0,0,0,3,1.0,0.0,194.0,1
1.0,31,0.0,2.0,0,0,0,6,1.0,0.0,141.0,1
1.0,31,0.0,2.0,0,0,0,5,1.0,0.0,309.0,0
1.0,64,1.0,0.0,0,0,0,13,1.0,0.0,436.0,1
1.0,21,2.0,0.0,0,0,0,1,1.0,0.0,50.0,1
1.0,27,0.0,2.0,0,0,0,0,0.0,1.0,311.0,0
0.0,21,2.0,2.0,0,0,0,0,2.0,0.0,206.0,0
1.0,24,2.0,3.0,0,0,0,1,1.0,0.0,216.0,0
1.0,43,0.0,2.0,0,0,0,1,1.0,1.0,379.0,0
1.0,32,0.0,5.0,0,0,0,0,1.0,1.0,44.0,0
1.0,27,0.0,0.0,0,0,0,8,1.0,0.0,71.0,0
0.0,36,0.0,2.0,0,0,0,3,95.0,0.0,436.0,0
1.0,26,0.0,0.0,0,0,1,5,1.0,0.0,250.0,1
1.0,33,0.0,0.0,0,0,0,0,1.0,0.0,383.0,1
1.0,30,0.0,2.0,0,0,0,9,0.0,0.0,172.0,1
1.0,32,0.0,0.0,0,0,0,4,1.0,0.0,35.0,1
