sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,c_charge_desc,decile_score
Male,69,Greater than 45,Other,0,0,0,0,1,F,Aggravated Assault w/Firearm,1
Male,34,25 - 45,African-American,0,0,0,0,1,F,Felony Battery w/Prior Convict,3
Male,24,Less than 25,African-American,0,0,1,4,1,F,Possession of Cocaine,4
Male,23,Less than 25,African-American,0,1,0,1,1,F,Possession of Cannabis,8
Male,43,25 - 45,Other,0,0,0,2,76,F,arrest case no charge,1
Male,44,25 - 45,Other,0,0,0,0,0,M,Battery,1
Male,41,25 - 45,Caucasian,0,0,0,14,1,F,Possession Burglary Tools,6
Male,43,25 - 45,Other,0,0,0,3,1,F,arrest case no charge,4
Female,39,25 - 45,Caucasian,0,0,0,0,1,M,Battery,1
Male,21,Less than 25,Caucasian,0,0,0,1,308,F,Insurance Fraud,3
Male,27,25 - 45,Caucasian,0,0,0,0,1,F,"Poss 3,4 MDMA (Ecstasy)",4
Male,23,Less than 25,African-American,0,0,0,3,0,M,Battery,6
Female,37,25 - 45,Caucasian,0,0,0,0,0,M,Battery,1
Male,41,25 - 45,African-American,0,0,0,0,1,F,"Poss3,4 Methylenedioxymethcath",4
Female,47,Greater than 45,Caucasian,0,0,0,1,490,F,arrest case no charge,1
Male,31,25 - 45,African-American,0,0,0,7,71,F,Felony Driving While Lic Suspd,3
Male,37,25 - 45,Hispanic,0,0,0,0,0,M,Battery,1
Male,25,25 - 45,African-American,0,0,0,3,1,F,Grand Theft in the 3rd Degree,10
Male,31,25 - 45,Caucasian,0,0,0,6,1,F,Driving While License Revoked,5
Male,31,25 - 45,Caucasian,0,0,0,5,1,F,Possession Of Heroin,3
Male,64,Greater than 45,African-American,0,0,0,13,1,F,arrest case no charge,6
Male,21,Less than 25,African-American,0,0,0,1,1,F,Battery on Law Enforc Officer,9
Male,27,25 - 45,Caucasian,0,0,0,0,0,M,Possession Of Methamphetamine,2
Female,21,Less than 25,Caucasian,0,0,0,0,2,F,Introduce Contraband Into Jail,4
Male,24,Less than 25,Hispanic,0,0,0,1,1,F,Lewd/Lasc Battery Pers 12+/<16,4
Male,43,25 - 45,Caucasian,0,0,0,1,1,M,Susp Drivers Lic 1st Offense,1
Male,32,25 - 45,Other,0,0,0,0,1,M,Battery,3
Male,27,25 - 45,African-American,0,0,0,8,1,F,Carrying Concealed Firearm,3
Female,36,25 - 45,Caucasian,0,0,0,3,95,F,arrest case no charge,3
Male,26,25 - 45,African-American,0,0,1,5,1,F,Pos Cannabis W/Intent Sel/Del,7
Male,33,25 - 45,African-American,0,0,0,0,1,F,Tampering With Physical Evidence,10
Male,30,25 - 45,Caucasian,0,0,0,9,0,F,Felony Battery w/Prior Convict,9
Male,32,25 - 45,African-American,0,0,0,4,1,F,Att Tamper w/Physical Evidence,8
Male,55,Greater than 45,Caucasian,0,0,0,0,1,F,arrest case no charge,1
Male,49,Greater than 45,Other,0,0,0,7,0,F,Agg Fleeing and Eluding,3
Male,26,25 - 45,Caucasian,0,0,2,6,382,M,Operating W/O Valid License,8
Female,33,25 - 45,Caucasian,0,0,0,4,1,M,Battery,5
Male,24,Less than 25,Caucasian,0,0,0,1,0,M,Battery,2
Male,34,25 - 45,African-American,2,1,3,21,0,F,Poss Wep Conv Felon,9
Male,29,25 - 45,Caucasian,0,0,0,0,1,M,Possess Cannabis/20 Grams Or Less,2
Female,21,Less than 25,African-American,0,0,0,2,1,F,arrest case no charge,8
Male,51,Greater than 45,African-American,0,0,0,2,1,M,Unlaw Use False Name/Identity,1
Male,29,25 - 45,Caucasian,0,0,0,2,1,M,Viol Injunct Domestic Violence,2
Female,51,Greater than 45,African-American,0,0,0,7,1,F,Possession of Cocaine,2
Male,29,25 - 45,African-American,0,0,0,0,0,F,Defrauding Innkeeper $300/More,7
Male,25,25 - 45,Caucasian,0,0,0,9,1,M,Battery,10
Male,35,25 - 45,African-American,1,0,4,13,1,F,Uttering a Forged Instrument,8
Male,49,Greater than 45,Caucasian,0,0,0,0,0,M,DUI Level 0.15 Or Minor In Veh,1
Male,34,25 - 45,African-American,0,0,0,4,59,M,Driving License Suspended,3
Male,29,25 - 45,African-American,0,0,0,0,1,F,Tampering With Physical Evidence,4
Male,29,25 - 45,Caucasian,0,0,0,1,24,F,Possession of Oxycodone,2
Female,28,25 - 45,Other,0,0,0,0,1,F,Grand Theft in the 3rd Degree,2
Male,48,Greater than 45,Caucasian,0,0,0,20,562,F,arrest case no charge,6
Female,63,Greater than 45,Hispanic,0,0,0,1,219,F,arrest case no charge,1
Male,31,25 - 45,African-American,0,0,1,15,1,F,Attempt Armed Burglary Dwell,5
Male,24,Less than 25,African-American,0,0,0,2,1,F,Poss Tetrahydrocannabinols,4
